id,track_name,n_citacoes,size_bytes,price,prime_genre
505829994,笑ったら負け,97,3700736,0.0,Book
1085497631,謎解き,94,16080896,0.0,Book
933350763,Flewn,36,534294528,2.99,Book
1068026210,ジェスチャー当て,15,10823680,0.0,Book
977242839,Green Riding Hood,12,316589056,0.0,Book
552498441,"It's The Great Pumpkin, Charlie Brown",10,141408256,5.99,Book
906936224,快看漫画,6,63058944,0.0,Book
1024818709,HOOKED - Chat Stories,1,94545920,0.0,Book
1091961831,心がラクになる後ろ向き名言100選,1,93907968,0.0,Book
302584613,"Kindle – Read eBooks, Magazines & Textbooks",0,169747456,0.0,Book
475820434,Notion,100,223332352,14.99,Music
502344938,OnSong,100,75674624,24.99,Music
509993510,Smule Sing!,100,109940736,0.0,Music
544119998,Magellan,100,44860416,2.99,Music
708379313,Bose SoundTouch,100,54193152,0.0,Music
791077159,KORG Gadget,100,918957056,39.99,Music
973056418,LiveMixtapes,100,63872000,0.0,Music
944011620,Amazon Alexa,95,78435328,0.0,Music
1017492454,YouTube Music,93,114122752,0.0,Music
563103341,UBiO,92,26939392,4.99,Music
